Ord.Date & Time,Exch.,Symbol,Action,Ord. Qty,Discl. Qty,Exec. Qty,Ord. Price,Trigger Price,Book Type,Sett. Type,Terminal Id,Order Type,Source,Product,Status,Reason,Ref. No.,Exch. Order No.,BasketId/SIP REF. No.
1/19/2026 12:56,NSE,SPANDANAEQ,BUY,3,0,3,236,0,Reg. Lot,---,6290645,LIMIT,MOBILE,Cash,Confirmed Trade,---,26011900311790,1300000048972410,0
1/19/2026 12:07,BSE,PARADEEPEQ,BUY,5,0,5,137,0,Reg. Lot,---,6290645,LIMIT,MOBILE,Cash,Confirmed Trade,---,26011900228016,1.76879819341377E+018,0
1/19/2026 11:15,BSE,CIPLAEQ,BUY,2,0,2,1380,0,Reg. Lot,---,6290645,LIMIT,MOBILE,Cash,Confirmed Trade,---,26011900229042,1.76879867822085E+018,0
6/17/2026 12:21,NSE,TMPVEQ,BUY,1,0,1,383,0,Reg. Lot,---,6290645,LIMIT,MOBILE,Cash,Confirmed Trade,---,26061700255451,1300000048186460,0
2/17/2026 15:23,NSE,BAJFINANCEEQ,SELL,45,0,45,1015,0,Reg. Lot,---,6290645,LIMIT,MOBILE,E-Margin,Confirmed Trade,---,26021700428756,1000000062289900,0
1/16/2026 17:33,BSE,CIPLAEQ,BUY,1,1,0,1395,0,Reg. Lot,---,6290645,LIMIT,MOBILE,Cash,Expired Order,,26011600417254,1.76855413044913E+018,0
1/16/2026 14:37,NSE,ITCEQ,BUY,3,0,3,329.8,0,Reg. Lot,---,6290645,LIMIT,MOBILE,Cash,Confirmed Trade,---,26011600414077,1100000070747260,0
1/16/2026 12:12,BSE,PARADEEPEQ,BUY,5,0,5,143,0,Reg. Lot,---,6290645,LIMIT,MOBILE,Cash,Confirmed Trade,---,26011600259360,1.76854155481426E+018,0
5/15/2026 11:38,NSE,CDSLEQ,BUY,2,0,2,1190,0,Reg. Lot,---,6290645,LIMIT,MOBILE,Cash,Confirmed Trade,---,26051500246088,1000000040455370,0
1/14/2026 15:00,NSE,POLYCABEQ,SELL,6,0,6,7340.5,0,Reg. Lot,---,6290645,LIMIT,MOBILE,CnC-Intraday,Confirmed Trade,---,26011400389209,1200000067252840,0
1/14/2026 12:35,NSE,POLYCABEQ,BUY,1,0,1,7377,0,Reg. Lot,---,6290645,LIMIT,MOBILE,CnC-Intraday,Confirmed Trade,---,26011400261462,1200000042347340,0
1/14/2026 11:57,NSE,CIPLAEQ,BUY,1,0,1,1434,0,Reg. Lot,---,6290645,LIMIT,MOBILE,Cash,Confirmed Trade,---,26011400229035,1000000027942090,0
1/14/2026 9:34,NSE,POLYCABEQ,BUY,5,0,5,7410.5,0,Reg. Lot,---,6290645,LIMIT,MOBILE,CnC-Intraday,Confirmed Trade,---,26011400052566,1200000007240050,0
